Periode,Open,Volume,High,Low,Close
1,6975,1269725,7243.95,6975,7219.6
2,7250,959173,7375,7235.5,7343
3,7469.9,2583262,7691.15,7415,7670.8
4,7525,1535986,7779.35,7521,7748.25
5,7763.95,1165951,7785,7585,7659.35
6,7686,639060,7759,7669.75,7731.3
7,7739,1037912,7759.95,7571,7669.85
8,7726,1458404,7869,7691.8,7774.5
9,7828,616374,7849.55,7774,7808.35
10,7775,569635,7846.1,7728.5,7832.2
11,7819.5,679774,7910,7801.55,7852.6
12,7899.95,1130024,7945,7716.05,7744
13,7850,5000317,8045,7473,7571.8
14,7610,2910383,7650,7401,7530.25
15,7402.5,1370450,7499,7305.85,7373.75
16,7350,2502582,7350,6817.7,6931.75
17,6900,2525934,6996,6752.2,6963.75
18,6823.6,1761028,6902.35,6708.1,6837
19,6961.05,1467522,7045.6,6845,6867.25
20,6979.9,1251249,7075.9,6930.1,7000.25
21,7075.9,1383449,7115.8,6886,7014.6
22,7100,1339821,7280,7095,7247.45
23,7253,839856,7287.05,7100,7110.65
24,7090,823208,7188.4,7055,7158.4
25,7165,1183012,7165,6881,6930.6
26,7000,1640542,7147,6914.7,7055
27,7128.55,649166,7157.9,7070,7117.35
28,7135,1244200,7240,7065,7137
29,7040,1276461,7079.95,6921.05,7011.6
30,6810,1169766,6930,6744.05,6785.95
31,6800,1346820,7195,6785.95,7142.05
32,7185,1054041,7224.95,7050,7068.6
33,7120,903616,7128,6982,7082.45
34,7020,762517,7116,7010,7030.1
35,7000,816664,7080.9,6911,7006.35
36,6800,1258732,7036.15,6789,7011.35
37,7060,795228,7117.35,7027.45,7044.55
38,6800,1930040,6900.2,6592.45,6627.8
39,6800,1413281,6989.95,6759,6969.4
40,6860,1580891,7025,6806.6,7002.3
41,6918,1608009,6936.35,6762,6831.55
42,6920,1333999,6944.3,6725,6748.35
43,6688.4,1996509,6698,6500,6537.9
44,6350,2843588,6370,6100,6125
45,6128,2885783,6217.35,5912.9,6161.85
46,6219.5,2280131,6525,6121.85,6472.5
47,6794,2091561,6794,6501,6584.9
48,6550,1264771,6685,6490.05,6628
49,6601,1266846,6689,6500,6665.45
50,6677.2,1479270,6750,6605,6666.55
51,6780,1633596,6899.4,6743.35,6840.6
52,6947.7,1670678,7056.9,6930.1,6994.4
53,7000,962019,7018.75,6850,6870.4
54,6870,1273796,7010,6767,6985.8
55,7050,1176750,7104,6970,7004.8
56,6969,783716,7035.55,6881.25,6997.55
57,7059,702373,7067.45,6940,6973.5
58,6990,936973,7035,6870,7001.4
59,7040,715950,7060,6984.5,7039.35
60,7100,1272254,7274.45,7099,7251.85
61,7287.95,1633011,7445,7240.65,7259.95
62,7229.95,871513,7449,7220.3,7408.1
63,7449,1049759,7590.9,7430,7490.65
64,7435,1072082,7479.95,7330,7388.45
65,7350,767031,7425,7300,7346.95
66,7310,718266,7356,7270,7290.2
67,7328.3,881973,7425,7260,7366.6
68,7345.05,597508,7384,7295,7336.65
69,7299.95,805598,7299.95,7220,7274.5
70,7313,672317,7380,7282.05,7328.45
71,7265.5,758222,7375,7231.6,7261.45
72,7300,1191110,7443.3,7151,7259.55
73,7274.95,1558181,7294.7,6960,7032.5
74,7099,875343,7187,7047.3,7138.1
75,7080,807987,7207,7071.4,7110.75
76,7000,684953,7074.95,6950,7005.5
77,7131,1012419,7262.95,7097,7240.55
78,7100,3984357,7100,6688.85,6714.1
79,6748,2499094,6805,6580,6727.65
80,6800,1337517,6823.6,6651,6671.8
81,6550,1238741,6649.85,6525.5,6626.15
82,6629.9,1649115,6667.8,6290,6339.75
83,6400,1486028,6497.45,6290,6309.45
84,6201,3064865,6205.05,5975,6000.3
85,5961,1935648,6135.25,5832.55,6036.95
86,6000,1177933,6113.05,5900,5928.45
